position	UNBOUND	O	OO	OOO	H	OH	OOH	OOOH	HH	OHH	OOHH	OOOHH	HHH	OHHH	OOHHH	OOOHHH
-40.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-39.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-39.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-39.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-39.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-39.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-39.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-39.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-39.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-39.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-39.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-38.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-38.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-38.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-38.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-38.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-38.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-38.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-38.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-38.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-38.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-37.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-37.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-37.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-37.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-37.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-37.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-37.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-37.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-37.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-37.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-36.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-36.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-36.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-36.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-36.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-36.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-36.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-36.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-36.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-36.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-35.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-35.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-35.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-35.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-35.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-35.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-35.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-35.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-35.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-35.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-34.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-34.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-34.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-34.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-34.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-34.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-34.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-34.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-34.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-34.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-33.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-33.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-33.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-33.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-33.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-33.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-33.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-33.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-33.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-33.0 0 25 27 4 15 246 333 59 24 554 871 201 2 71 87 0
-32.9 367 5447 5578 694 2947 50910 65974 11480 5395 110778 172116 38141 638 11566 16538 0
-32.8 374 5455 5627 661 2973 50727 65784 11509 5413 110944 172290 38107 633 11611 16624 0
-32.7 365 5301 5531 651 2888 50981 65749 11425 5485 111445 172633 37952 659 11535 16704 0
-32.6 385 5292 5517 680 2905 50937 66590 11383 5523 111291 172750 38299 655 11495 16705 0
-32.5 400 5242 5551 671 2932 50876 66382 11518 5516 110527 172403 38016 660 11584 16973 0
-32.4 393 5304 5452 652 2926 50413 66380 11460 5348 111321 172611 38100 610 11541 16915 0
-32.3 376 5215 5477 652 2900 50789 66211 11546 5365 111425 172874 38202 662 11633 16767 0
-32.2 372 5201 5469 648 2908 50916 65793 11370 5354 111532 172379 38209 681 11708 16777 0
-32.1 364 5162 5419 649 2845 51263 66126 11494 5207 111479 171969 38113 620 11413 16712 0
-32.0 347 5144 5403 672 2700 50953 66225 11684 5268 111287 172488 38011 622 11589 16780 0
-31.9 353 5035 5451 659 2866 50659 66287 11524 5199 111048 172001 38064 623 11552 16716 0
-31.8 339 5131 5400 668 2823 50561 66352 11467 5183 110917 172545 38195 634 11457 16670 0
-31.7 372 5077 5416 676 2838 50878 66567 11459 5051 111064 172435 37849 599 11396 16725 0
-31.6 356 5216 5458 657 2726 51091 66715 11443 5097 111319 172627 37912 623 11493 16575 0
-31.5 389 5109 5526 700 2775 50981 66957 11436 5076 110656 172808 37954 607 11423 16837 0
-31.4 378 5003 5417 680 2792 50716 66753 11405 5123 110717 171999 37854 574 11336 16690 0
-31.3 371 5114 5332 667 2713 50826 66843 11364 5035 110293 173111 37991 581 11368 16700 0
-31.2 354 5024 5459 644 2729 50652 67152 11392 5071 109860 172505 37853 614 11363 16821 0
-31.1 337 4993 5397 668 2759 50718 67030 11550 4987 109359 172194 37950 572 11317 16725 0
-31.0 364 5017 5519 618 2802 50484 67284 11580 5031 109827 172269 37823 594 11251 16746 0
-30.9 383 5066 5525 632 2887 50905 67142 11419 5071 109602 172870 37879 600 11373 16469 0
-30.8 372 5276 5609 648 2914 50742 67304 11500 4971 109212 172040 37673 607 11477 16828 0
-30.7 393 5192 5701 631 2829 51103 67355 11442 4894 109267 171714 37430 606 11242 16538 0
-30.6 393 5368 5768 636 2772 51145 67233 11481 5021 109141 171373 37444 574 11176 16361 0
-30.5 395 5569 5888 639 2748 51255 67224 11379 4839 108895 170723 37181 595 11119 16451 0
-30.4 391 5551 5838 657 2810 51087 67237 11349 4889 108731 170177 37029 574 11002 16163 0
-30.3 412 5591 5962 648 2729 51100 67500 11340 4815 108431 169257 36851 552 11043 16250 0
-30.2 414 5773 5821 651 2667 51242 66827 11347 4811 107827 168393 36810 568 11054 16104 0
-30.1 397 5973 5991 633 2718 51373 67094 11133 4707 106955 167739 36617 562 11058 16279 0
-30.0 433 5820 5919 605 2721 50966 66791 11099 4774 106678 167676 36516 545 10775 15823 0
-29.9 421 5975 6020 630 2727 51377 66841 11037 4753 107066 166143 36511 555 10850 15785 0
-29.8 406 6025 5948 606 2750 52004 66901 11171 4648 106830 166409 36390 552 10762 15824 0
-29.7 402 5998 5906 625 2687 51617 67285 11095 4678 106571 166444 36624 533 10593 15829 0
-29.6 400 6055 6036 607 2679 51916 67033 10908 4638 105770 165679 36321 519 10870 15837 0
-29.5 408 6179 6049 631 2699 52428 67181 11043 4710 105734 165064 36335 537 10678 15762 0
-29.4 426 6257 6146 636 2704 52521 67260 11080 4588 105421 164699 36158 559 10545 15448 0
-29.3 396 6432 6188 625 2626 52864 67515 10988 4545 104672 163586 35677 515 10425 15407 0
-29.2 423 6530 6246 626 2718 53078 67882 10941 4462 104684 163083 35527 512 10438 15199 0
-29.1 448 6538 6337 652 2677 53116 67451 11147 4404 104308 161751 35592 514 10258 15294 0
-29.0 470 6640 6165 627 2644 53416 67990 10778 4526 103770 161441 35011 485 10259 15134 0
-28.9 483 6802 6239 603 2617 53141 68048 11065 4435 102969 160919 35013 512 10178 15007 0
-28.8 477 6776 6256 607 2623 53266 67700 10969 4365 102408 159872 34645 489 10069 14914 0
-28.7 491 6743 6316 625 2618 53454 67988 10948 4398 101458 159513 34542 516 10059 14770 0
-28.6 500 6848 6311 576 2630 53460 67897 10835 4330 101257 158938 34203 473 9916 14669 0
-28.5 484 6971 6341 598 2716 53514 67301 10783 4273 100980 157648 33995 514 9865 14680 0
-28.4 492 6894 6336 570 2637 53232 67179 10574 4302 100156 157311 33673 464 9794 14596 0
-28.3 482 7029 6241 574 2740 53261 67326 10606 4145 99640 156256 33430 501 9787 14613 0
-28.2 489 7199 6395 590 2690 53349 67358 10488 4205 99304 155133 33108 463 9615 14374 0
-28.1 463 7156 6513 568 2664 53021 66524 10332 4164 98213 154181 33170 446 9495 14387 0
-28.0 512 7300 6285 586 2710 52860 66943 10427 4100 97685 152901 32861 464 9502 14264 0
-27.9 512 7450 6300 567 2660 52658 66684 10291 4113 97009 151681 32759 462 9377 14129 0
-27.8 451 7185 6334 586 2637 52952 66006 10266 3945 96254 150230 32328 442 9176 13927 0
-27.7 436 7343 6445 593 2647 52825 65741 10181 3981 95635 149370 32150 459 9174 13731 0
-27.6 472 7332 6487 553 2545 52680 65303 10040 4026 94909 148590 31924 406 8933 13653 0
-27.5 459 7342 6425 542 2484 52757 64727 10015 3923 94298 146688 31728 435 9104 13770 0
-27.4 447 7407 6318 568 2485 52125 64603 9853 4007 93646 145654 31417 467 9026 13565 0
-27.3 439 7318 6308 563 2471 52270 63978 9791 4070 92862 144808 31462 442 8999 13471 0
-27.2 416 7233 6299 562 2505 51782 63356 9601 3937 91900 143444 31146 445 8885 13468 0
-27.1 442 7123 6332 517 2513 51262 62988 9458 3969 91104 143052 30982 440 8933 13267 0
-27.0 446 7063 6211 566 2463 50909 62586 9346 3960 90089 141859 30719 458 8850 13222 0
-26.9 429 7020 6140 517 2378 50632 61801 9383 3864 89492 140844 30447 451 8795 13178 0
-26.8 444 6945 6116 538 2394 49707 61359 9257 3941 88624 139651 30138 455 8656 13261 0
-26.7 432 6942 5931 544 2302 49803 60580 9106 3886 87424 138994 29904 444 8615 13059 0
-26.6 467 6899 6120 521 2382 49035 60225 9092 3752 86542 137727 29703 394 8445 12986 0
-26.5 441 6869 6065 516 2337 48955 60425 9154 3807 85643 136681 29941 418 8439 12846 0
-26.4 429 6755 5976 486 2319 48443 59284 9095 3682 84902 136033 29500 420 8241 12763 0
-26.3 408 6741 5855 508 2356 47461 59298 9145 3610 83740 135393 29565 384 8265 12717 0
-26.2 398 6663 5788 521 2284 46776 58899 9045 3449 83072 134605 29398 396 8244 12634 0
-26.1 390 6490 5750 487 2262 46367 58080 9111 3488 82161 134074 29380 386 8056 12580 0
-26.0 384 6650 5889 505 2208 45992 57953 9137 3438 81144 132699 28903 381 8041 12389 0
-25.9 395 6558 5812 487 2208 45373 57991 9146 3338 80697 132270 29048 394 7948 12327 0
-25.8 390 6426 5768 492 2183 45258 57460 8976 3237 79744 131546 29025 379 8025 12196 0
-25.7 396 6416 5683 489 2163 44552 57580 9001 3245 79956 131212 28583 387 7831 12149 0
-25.6 367 6422 5877 513 2136 44164 56945 8908 3210 78998 130267 28535 344 7761 12164 0
-25.5 388 6369 5778 519 2090 43741 57275 8976 3144 78658 129041 28257 339 7701 11871 0
-25.4 396 6283 5680 506 2041 43687 56932 8753 3049 77849 128436 28225 327 7524 11847 0
-25.3 354 6367 5741 530 2018 43515 56596 8632 3075 77885 127491 27908 332 7555 11751 0
-25.2 390 6328 5654 529 1992 43374 56395 8742 2885 77103 127015 27659 321 7477 11727 0
-25.1 402 6445 5676 510 1997 43440 56452 8675 2910 77121 126641 27583 323 7392 11816 0
-25.0 390 6385 5702 526 2037 43078 56063 8756 2976 76537 126837 27570 314 7351 11596 0
-24.9 392 6424 5680 513 1947 43105 55639 8625 2890 76320 125813 27194 310 7325 11431 0
-24.8 354 6376 5683 505 1911 42887 55637 8784 2992 75491 125392 27102 303 7243 11290 0
-24.7 378 6473 5653 511 1947 42967 55987 8607 2933 75299 125158 26978 304 7192 11137 0
-24.6 371 6473 5707 470 1912 42693 55617 8578 2991 75113 124544 26995 307 7009 11275 0
-24.5 342 6376 5653 471 1941 43011 55181 8612 2973 74374 123868 26927 326 7024 11171 0
-24.4 334 6410 5732 505 1919 43054 55640 8690 2850 74264 123617 26600 313 6963 11004 0
-24.3 345 6331 5634 500 1961 42917 54946 8524 2904 74345 122920 26509 309 6771 10951 0
-24.2 295 6474 5631 504 1883 42459 54758 8504 2829 74060 121669 26260 309 6774 10937 0
-24.1 330 6487 5678 508 1915 42728 54593 8482 2888 73625 120619 26339 324 6796 10869 0
-24.0 320 6484 5605 512 1956 42584 54419 8552 2852 73602 119966 26193 308 6761 10695 0
-23.9 360 6433 5728 526 1945 42745 54396 8317 2819 73236 118939 25756 312 6642 10580 0
-23.8 332 6471 5777 494 1966 42500 54523 8302 2828 73178 117770 25359 310 6636 10472 0
-23.7 352 6381 5803 482 1983 42398 54005 8199 2763 72379 117233 24888 306 6746 10429 0
-23.6 339 6192 5655 506 1941 42858 53973 8213 2829 72011 115794 24607 293 6643 10253 0
-23.5 350 6280 5722 479 1981 42560 53657 8159 2848 71555 114304 24237 283 6412 10058 0
-23.4 366 6274 5729 467 1929 42439 53212 8027 2752 71196 112837 23807 299 6471 10018 0
-23.3 349 6220 5746 474 1945 42078 52480 7887 2693 69961 111363 23566 285 6354 9843 0
-23.2 356 6323 5631 463 1877 42037 51947 7866 2743 70108 110011 23113 314 6348 9749 0
-23.1 382 6288 5635 438 1935 41600 51400 7952 2768 69350 109132 23017 278 6306 9649 0
-23.0 378 6438 5631 444 1923 41800 51018 7895 2685 68957 107589 22745 282 6256 9564 0
-22.9 377 6509 5609 471 1916 41315 50876 7753 2642 68274 106560 22416 298 6249 9510 0
-22.8 396 6510 5582 448 1843 40913 50366 7761 2724 68008 104758 22316 285 6134 9412 0
-22.7 407 6503 5586 457 1841 40571 49961 7664 2748 66706 103017 22169 317 6124 9282 0
-22.6 407 6400 5500 434 1851 40387 49446 7552 2840 65782 101369 21630 336 6132 9218 0
-22.5 400 6479 5507 465 1817 39678 48827 7550 2746 64830 99983 21350 310 5920 9152 0
-22.4 408 6352 5488 420 1752 39076 48112 7504 2804 63719 98819 21138 316 5971 9142 0
-22.3 381 6211 5454 427 1745 38855 48030 7302 2738 63019 96928 20737 271 5889 8893 0
-22.2 382 6306 5408 422 1832 38245 47252 7201 2745 62094 95183 20639 304 5911 8758 0
-22.1 381 6196 5351 428 1780 37626 46682 7265 2687 61888 94261 20574 270 5926 8607 0
-22.0 375 6063 5243 398 1804 37240 46232 7079 2644 60824 93123 20140 297 5825 8622 0
-21.9 377 6037 5184 421 1734 36650 45670 7068 2626 59493 91724 20057 268 5566 8535 0
-21.8 362 5881 4938 403 1766 36281 44890 6956 2735 59238 90819 19833 293 5596 8391 0
-21.7 380 5744 4893 435 1711 35543 44280 6964 2643 58116 89680 19819 261 5666 8356 0
-21.6 348 5574 4865 414 1667 35000 43580 6995 2628 57662 88779 19585 285 5544 8484 0
